[2024-11-05T19:06:05.831+0700] {processor.py:186} INFO - Started process (PID=67052) to work on /home/3323600030_Aulia/venv/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-11-05T19:06:05.832+0700] {processor.py:914} INFO - Processing file /home/3323600030_Aulia/venv/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2024-11-05T19:06:05.843+0700] {logging_mixin.py:190} INFO - [2024-11-05T19:06:05.842+0700] {dagbag.py:588} INFO - Filling up the DagBag from /home/3323600030_Aulia/venv/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-11-05T19:06:05.922+0700] {processor.py:925} INFO - DAG(s) 'dataset_consumes_1', 'consume_1_or_2_with_dataset_expressions', 'dataset_produces_1', 'consume_1_and_2_with_dataset_expressions', 'dataset_consumes_1_and_2', 'dataset_produces_2', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'dataset_consumes_unknown_never_scheduled', 'dataset_consumes_1_never_scheduled', 'conditional_dataset_and_time_based_timetable' retrieved from /home/3323600030_Aulia/venv/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-11-05T19:06:06.054+0700] {logging_mixin.py:190} INFO - [2024-11-05T19:06:06.054+0700] {dag.py:3239} INFO - Sync 10 DAGs
[2024-11-05T19:06:06.142+0700] {logging_mixin.py:190} INFO - [2024-11-05T19:06:06.142+0700] {dag.py:4180} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2024-10-30 01:00:00+00:00, run_after=2024-10-30 01:00:00+00:00
[2024-11-05T19:06:06.155+0700] {logging_mixin.py:190} INFO - [2024-11-05T19:06:06.154+0700] {dag.py:4180} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2024-11-05T19:06:06.158+0700] {logging_mixin.py:190} INFO - [2024-11-05T19:06:06.157+0700] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2024-11-05T19:06:06.160+0700] {logging_mixin.py:190} INFO - [2024-11-05T19:06:06.160+0700] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2024-11-05T19:06:06.164+0700] {logging_mixin.py:190} INFO - [2024-11-05T19:06:06.164+0700] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2024-11-05T19:06:06.170+0700] {logging_mixin.py:190} INFO - [2024-11-05T19:06:06.169+0700] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2024-11-05T19:06:06.174+0700] {logging_mixin.py:190} INFO - [2024-11-05T19:06:06.173+0700] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2024-11-05T19:06:06.177+0700] {logging_mixin.py:190} INFO - [2024-11-05T19:06:06.176+0700] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2024-11-05T19:06:06.183+0700] {logging_mixin.py:190} INFO - [2024-11-05T19:06:06.183+0700] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_1 to 2024-11-04 00:00:00+00:00, run_after=2024-11-05 00:00:00+00:00
[2024-11-05T19:06:06.187+0700] {logging_mixin.py:190} INFO - [2024-11-05T19:06:06.187+0700] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2024-11-05T19:06:06.313+0700] {processor.py:208} INFO - Processing /home/3323600030_Aulia/venv/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py took 0.517 seconds
